term,fresh freq,plot freq,rotten freq,fresh rank,rotten rank,sum freq,z score
bombing,1,1,0,5705,552,2,0.6830761243311745
thought,19,4,12,13170,12998,35,0.9227760667966237
gordon,0,1,0,545,553,1,0.0
perrini,0,1,0,546,554,1,
credited,0,1,1,547,5795,2,-0.6917845934586959
international,1,1,1,5706,5796,3,-0.004465430636914732
colombia,0,1,0,548,555,1,0.0
might,30,7,51,13279,13361,88,-2.1524988499552626
justice,2,9,2,9933,10089,13,-0.019518526819597967
dangerous,5,5,2,12123,10090,12,0.8706879224509788
official,0,5,0,549,556,5,0.0
ultimately,15,6,29,13086,13279,50,-2.1365643232202527
murdering,0,1,1,550,5797,2,-0.7049061797765044
matters,1,2,1,5707,5798,4,-0.012447024195153167
quarry,0,1,0,551,557,1,0.0
responsible,1,2,1,5708,5799,4,-0.009023817026788417
claudio,0,1,0,552,558,1,4.3570272391620393e-16
terrorism,2,1,1,9934,5800,4,0.3699386694913253
brewer,0,2,0,553,559,2,0.0
frustrated,1,2,1,5709,5801,4,-0.021995435157896794
firefighter,0,1,0,554,560,1,0.0
plunged,0,1,0,555,561,1,0.0
hits,6,3,6,12363,12426,15,-0.04610529584329302
operative,0,1,1,556,5802,2,-0.6800774250940287
trained,0,2,0,557,562,2,0.0
confessions,6,1,1,12364,5803,8,1.6017794093378812
tv,6,7,23,12365,13220,36,-2.1763193195736146
barris,5,2,0,12124,563,7,0.5785102502733442
night,10,10,10,12853,12883,30,-0.05210521907597665
legendary,0,2,0,558,564,2,0.0
height,0,1,0,559,565,1,0.0
happened,2,2,3,9935,11304,7,-0.3384507476550507
biggest,1,5,4,5710,11894,10,-0.9927536177221562
famous,1,9,1,5711,5804,11,-0.012537595960959205
chuck,2,1,1,9936,5805,4,0.4184886280107554
said,3,2,7,11130,12601,12,-0.47464321114260843
made,48,6,60,13357,13381,114,-1.070731114145114
recruited,0,2,0,560,566,2,0.0
screen,33,4,34,13301,13308,71,-0.24169237231725496
covert,0,2,0,561,567,2,0.0
assassin,0,3,0,562,568,3,0.0
state,10,4,4,12854,11895,18,0.5455760844750851
folksy,0,1,1,563,5806,2,-0.46475530098831186
patients,0,1,0,564,569,1,0.0
ty,0,1,0,565,570,1,0.0
delazo,0,1,0,566,571,1,
satan,0,1,0,567,572,1,0.0
calls,3,2,0,11131,573,5,0.830294870028995
cure,0,1,1,568,5807,2,-0.563175736697316
patient,1,1,1,5712,5808,3,-0.010822721710613997
adams,1,1,3,5713,11305,5,-0.7343544116122649
hospital,1,5,1,5714,5809,7,-0.009315234694847607
seeking,4,4,2,11758,10091,10,0.5439553964174385
turn,11,4,4,12922,11896,19,1.177404271834313
sedah,0,1,0,569,574,1,
pact,0,1,1,570,5810,2,-0.7497606690020318
georgia,0,1,0,571,575,1,0.0
conversation,2,1,0,9937,576,3,0.8611684188259537
rumor,0,1,0,572,577,1,0.0
pregnant,0,3,1,573,5811,4,-0.44077513361038867
midnight,1,1,1,5715,5812,3,-0.017016723897306216
bury,0,1,0,574,578,1,0.0
live,15,6,10,13087,12884,31,0.5843426365688074
going,17,10,22,13138,13211,49,-0.6705738507464402
reach,2,2,4,9938,11897,8,-0.5686753026353496
change,10,6,7,12855,12602,23,0.3418567974103742
audition,0,2,0,575,579,2,0.0
contract,0,1,1,576,5813,2,-0.25996927248076757
queen,3,1,2,11132,10092,6,0.26323343083103556
scared,2,3,1,9939,5814,6,0.4637070026422059
maniac,1,1,1,5716,5815,3,-0.02424863721819573
strike,5,3,1,12125,5816,9,1.1971677202320583
little,60,11,79,13381,13401,150,-1.6043641149540848
graduation,1,2,0,5717,580,3,0.5561004990394579
la,16,1,8,13107,12722,25,0.9926808409909358
spears,0,1,8,577,12723,9,-2.128200848733707
stays,5,1,1,12126,5817,7,1.364532721437308
wishes,0,1,0,578,581,1,0.0
prom,0,1,0,579,582,1,0.0
high,27,13,27,13261,13257,67,-0.0861370923640017
homicidal,0,1,0,580,583,1,0.0
britney,1,1,11,5718,12952,13,-2.381511284947077
topic,2,1,1,9940,5818,4,0.16015338487420785
outcast,0,3,0,581,584,3,0.0
brings,7,4,4,12541,11898,15,0.7259187741337885
box,2,2,3,9941,11306,7,-0.1698214817287086
separation,1,1,0,5719,585,2,0.5463414582699703
kids,37,7,25,13320,13237,69,1.193724572797593
climax,1,1,2,5720,10093,4,-0.560609654942733
hiep,0,1,0,582,586,1,0.0
danang,4,3,0,11759,587,7,0.6575422869464078
unlike,8,1,0,12672,588,9,2.069259282271466
personal,15,6,6,13088,12427,27,1.0510646939500623
heidi,1,2,1,5721,5819,4,-0.02227416948059683
ventures,0,1,0,583,589,1,0.0
unknowingly,0,1,0,584,590,1,0.0
journeying,0,1,0,585,591,1,1.6129485795461696e-16
amerasian,0,1,0,586,592,1,0.0
reunited,0,2,0,587,593,2,0.0
vietnamese,2,2,0,9942,594,4,0.9974851330658733
thousands,1,1,0,5722,595,2,0.32206764422317957
orphans,2,1,0,9943,596,3,0.9819940340781284
spans,1,1,0,5723,597,2,0.7314579949999134
babylift,0,1,0,588,598,1,
toll,0,1,0,589,599,1,0.0
kim,1,1,0,5724,600,2,0.42276312212810957
most,106,10,68,13417,13391,184,2.144791553860714
vietnam,4,5,0,11760,601,9,1.3258825714571394
separated,0,1,0,590,602,1,0.0
always,22,2,5,13213,12208,29,2.204387781264971
reunion,3,2,1,11133,5820,6,0.7790768874861658
joyful,2,1,0,9944,603,3,0.9630761522794845
unfolds,2,1,2,9945,10094,5,-0.035407500894172286
tensely,0,1,0,591,604,1,0.0
decades,2,2,2,9946,10095,6,-0.028662599808449176
thi,1,2,0,5725,605,3,0.7315526487353281
tennessee,1,2,1,5726,5821,4,-0.012454731928513124
riveting,12,1,0,12979,606,13,1.2655424346121718
ending,15,2,23,13089,13221,40,-1.2564119452206155
bub,0,1,0,592,607,1,0.0
pilgrimage,0,1,0,593,608,1,0.0
pulaski,0,1,0,594,609,1,-4.807761229432304e-16
longing,2,1,1,9947,5822,4,0.5153885336088576
mai,1,2,0,5727,610,3,0.6382968877426101
embarks,0,2,0,595,611,2,0.0
dreamt,0,1,0,596,612,1,0.0
distance,2,2,1,9948,5823,5,0.23811483487554955
randolph,0,4,0,597,613,4,0.0
cutthroat,1,1,0,5728,614,2,0.6274920136012816
rhinoceros,0,1,0,598,615,1,0.0
success,5,2,6,12127,12428,13,-0.24649587540132267
attempts,2,4,2,9949,10096,8,-0.0278753669203847
proud,5,2,0,12128,616,7,1.555297787593388
outrageous,5,2,2,12129,10097,9,1.0244357570550482
know,20,7,27,13189,13258,54,-0.7395538446438548
exact,0,2,2,599,10098,4,-0.7701525407887808
smoochy,2,4,6,9950,12429,12,-1.3889298150825522
ratings,0,1,0,600,617,1,0.0
replaced,1,1,2,5729,10099,4,-0.42108579949405706
revenge,4,6,5,11761,12209,15,-0.35930963022341555
getting,13,6,13,13025,13044,32,-0.06914189211349406
squeaky,0,1,0,601,618,1,0.0
sweetheart,0,2,1,602,5824,3,-0.7545106158651853
puffy,0,1,0,603,619,1,0.0
turning,2,3,6,9951,12430,11,-1.198622062826965
smiley,0,1,0,604,620,1,0.0
sheldon,0,2,0,605,621,2,0.0
affections,0,3,0,606,622,3,0.0
disgrace,1,1,0,5730,623,2,0.717824447464929
luxury,0,2,1,607,5825,3,-0.38946341452674305
mopes,0,1,1,608,5826,2,
show,19,9,21,13171,13201,49,-0.2822873019732747
costumed,0,1,1,609,5827,2,-0.5717789427968274
bribery,0,2,0,610,624,2,0.0
fast,12,5,3,12980,11307,20,1.4577926092267135
replacement,0,1,0,611,625,1,0.0
target,7,1,9,12542,12821,17,-0.43860747500504005
reclaim,0,1,0,612,626,1,0.0
unsuspecting,0,1,0,613,627,1,0.0
rainbow,1,1,0,5731,628,2,0.5225043024211079
fuscia,0,1,0,614,629,1,0.0
scoring,0,1,1,615,5828,2,-0.5618157601788801
rhino,0,2,1,616,5829,3,-0.7403771712877392
thoughts,0,1,0,617,630,1,0.0
clean,2,2,2,9952,10100,6,-0.01948247874348219
status,5,2,1,12130,5830,8,0.6699472251238624
host,3,1,0,11134,631,4,0.7901351571175643
focusing,2,1,0,9953,632,3,0.9461424329759512
purple,0,1,0,618,633,1,0.0
worst,2,1,23,9954,13222,26,-3.465431785287251
catapults,0,1,0,619,634,1,0.0
network,0,1,3,620,11308,4,-0.4266712271534817
scandal,1,1,0,5732,635,2,0.671181754665711
jaded,1,1,1,5733,5831,3,-0.024754160383183777
insane,3,1,0,11135,636,4,1.2647050788724399
bad,17,7,105,13139,13413,129,-6.922353345877904
determined,3,3,4,11136,11899,10,-0.29648319455212874
leon,0,3,0,621,637,3,0.0
threat,1,3,1,5734,5832,5,-0.01476402891061628
mayhem,1,1,6,5735,12431,8,-1.6787862627032537
brothers,6,6,3,12366,11309,15,0.7603315137400288
members,3,4,1,11137,5833,8,0.2660559243084986
vicous,0,1,0,622,638,1,
scott,6,2,1,12367,5834,9,1.2039779260618246
whatever,4,1,8,11762,12724,13,-0.9637931129947637
bobby,0,5,1,623,5835,6,-0.5831885548944332
keep,33,6,17,13302,13146,56,1.7252023280573838
streets,1,2,2,5736,10101,5,-0.4144905265152101
vipers,0,2,0,624,639,2,0.0
bloody,8,1,1,12673,5836,10,1.915825045759655
means,7,3,5,12543,12210,15,0.30282717067489134
necessary,5,2,1,12131,5837,8,0.8340440633845292
vicious,0,1,2,625,10102,3,-1.0581880815171463
directs,1,1,2,5737,10103,4,-0.5517345884594662
drug,3,10,2,11138,10104,15,0.19396393760727154
dying,1,2,0,5738,640,3,0.5601676583857221
efforts,5,1,4,12132,11900,10,0.20205950601828837
hot,2,2,7,9955,12603,11,-0.7847117278831993
gang,2,5,6,9956,12432,13,-1.1915415263922775
madness,1,3,1,5739,5838,5,-0.020103217104143697
drugs,1,6,0,5740,641,7,0.3212730699623333
brooklyn,0,2,3,626,11310,5,-1.2483505766983196
overdose,0,4,0,627,642,4,0.0
dysfunctional,1,1,4,5741,11901,6,-1.2593908385566555
kalvert,0,1,1,628,5839,2,
deuces,0,3,7,629,12604,10,-1.140900597769006
lust,2,2,0,9957,643,4,1.0345302067879172
erupt,0,1,1,630,5840,2,-0.6208651052660102
demilitarised,0,1,0,631,644,1,0.0
started,3,1,5,11139,12211,9,-0.43194994376633816
zone,1,3,2,5742,10105,6,-0.29166760494542526
prevent,1,5,1,5743,5841,7,-0.011423082581089258
unmask,0,1,0,632,645,1,0.0
catastrophic,1,1,0,5744,646,2,0.7311072622311796
hovercraft,0,1,0,633,647,1,0.0
travels,1,4,0,5745,648,5,0.6364227311576502
weapon,0,3,1,634,5842,4,-0.5689385552303593
principle,0,1,0,635,649,1,0.0
differing,0,1,0,636,650,1,0.0
confrontation,0,2,1,637,5843,3,-0.754458207600489
cuba,1,2,0,5746,651,3,0.4975453962063637
via,1,2,1,5747,5844,4,-0.007555363340607059
experiences,3,4,3,11140,11311,10,-0.03238795476998997
bond,17,3,13,13140,13045,33,0.5837091901140911
traitor,0,1,0,638,652,1,0.0
spectacular,5,1,4,12133,11902,10,0.24935547138767408
main,3,1,2,11141,10106,6,0.1317291579470287
kong,1,1,2,5748,10107,4,-0.32173931005375633
such,40,5,28,13327,13268,73,0.8808890709626293
korea,0,2,0,639,653,2,0.0
adversary,0,1,0,640,654,1,0.0
power,13,3,9,13026,12822,25,0.4291013849161751
hand,10,1,7,12856,12605,18,0.41076655974753395
amazing,8,2,0,12674,655,10,1.9754138950003155
iceland,0,1,0,641,656,1,0.0
speed,2,1,1,9958,5845,4,0.20740306654047158
ladies,0,1,2,642,10108,3,-0.7052799822193545
consequence,0,1,1,643,5846,2,-0.6359558804041097
hong,1,1,2,5749,10109,4,-0.33448322810335496
roles,10,2,0,12857,657,12,2.30634143519124
influx,0,1,0,644,658,1,0.0
attracts,0,1,0,645,659,1,0.0
buoyed,1,1,0,5750,660,2,0.5573310194292539
sydney,0,1,0,646,661,1,0.0
tours,0,1,0,647,662,1,0.0
booming,0,1,0,648,663,1,0.0
competitors,1,1,0,5751,664,2,0.5936648199255372
soldiers,4,5,3,11763,11312,12,0.26987104190581657
australian,2,2,0,9959,665,4,0.5693974469382868
coast,1,2,0,5752,666,3,0.29292329811918816
gangster,2,1,6,9960,12433,9,-1.373680890275477
walker,0,1,1,649,5847,2,-0.4935612637072118
infuriates,1,1,0,5753,667,2,0.36993090062364226
verge,1,1,0,5754,668,2,0.7307326317294857
furious,0,2,1,650,5848,3,-0.7500854979278437
scrapbook,0,1,0,651,669,1,0.0
playwright,0,2,0,652,670,2,0.0
copious,1,1,0,5755,671,2,0.6533052185367021
why,16,5,26,13108,13247,47,-1.177230549552999
unhappy,0,2,2,653,10110,4,-1.0650429816192248
distant,3,2,2,11142,10111,7,0.3626713028896778
fight,5,6,7,12134,12606,18,-0.5129511898386918
apartment,0,2,0,654,672,2,0.0
quoted,0,1,0,655,673,1,0.0
mistreated,0,1,0,656,674,1,0.0
patch,0,1,2,657,10112,3,-0.6226908922088057
cuts,5,1,1,12135,5849,7,1.2663407816927728
yaya,0,1,0,658,675,1,0.0
rift,0,1,0,659,676,1,0.0
sisterhood,4,2,2,11764,10113,8,0.7511727724019368
wages,0,1,0,660,677,1,0.0
siddalee,0,4,0,661,678,4,
louisiana,0,1,0,662,679,1,0.0
flashbacks,0,2,1,663,5850,3,-0.6706586294978262
formed,0,1,0,664,680,1,0.0
ya,20,4,6,13190,12434,30,2.3951737505222654
opening,4,1,6,11765,12435,11,-0.5183924145656179
southern,3,2,2,11143,10114,7,0.22716239915466463
discusses,0,1,0,665,681,1,0.0
encounter,1,4,0,5756,682,5,0.5941563084654986
active,1,1,0,5757,683,2,0.22523988366187342
wounded,1,1,0,5758,684,2,0.6599994133170868
prepare,0,1,0,666,685,1,0.0
squad,0,2,1,667,5851,3,-0.5874860004810485
tonight,1,1,2,5759,10115,4,-0.3859368219208939
lonesome,0,1,0,668,686,1,0.0
special,20,3,18,13191,13167,41,0.13841061779124317
captain,0,4,2,669,10116,6,-0.8324827829576056
werewolves,0,1,0,670,687,1,0.0
ranger,0,1,0,671,688,1,0.0
carnaged,0,1,0,672,689,1,
wilderness,0,1,0,673,690,1,0.0
megan,0,1,0,674,691,1,0.0
forces,3,4,3,11144,11313,10,-0.02962794703132093
moon,2,3,0,9961,692,5,0.6842060642931689
region,0,1,0,675,693,1,0.0
training,1,3,0,5760,694,4,0.15787571176776508
scottish,0,1,1,676,5852,2,-0.4846082548328578
realizing,0,1,3,677,11314,4,-1.2573221560960302
victory,0,1,0,678,695,1,0.0
flounders,0,1,2,679,10117,3,-0.478792904767535
university,0,4,0,680,696,4,0.0
band,13,4,3,13027,11315,20,1.7224037170268494
water,6,3,8,12368,12725,17,-0.29067875350715744
expecting,1,1,2,5761,10118,4,-0.5177482908208786
talent,8,1,10,12675,12885,19,-0.5097093748005714
drumline,10,1,2,12858,10119,13,2.030432920342839
initially,0,2,1,681,5853,3,-0.5494965590646239
marching,4,1,1,11766,5854,6,1.1693692178863007
drummer,0,1,0,682,697,1,0.0
harlem,0,1,0,683,698,1,0.0
fish,0,1,6,684,12436,7,-1.4367816915949299
enrolls,0,1,0,685,699,1,0.0
paranoid,1,1,1,5762,5855,3,-0.02352224879893233
residents,0,1,0,686,700,1,0.0
chemical,0,1,0,687,701,1,0.0
unfortunate,0,1,3,688,11316,4,-1.2937565871470307
announcer,0,1,0,689,702,1,0.0
spiders,0,1,1,690,5856,2,-0.7455865471619739
mccormack,0,1,0,691,703,1,0.0
townspeople,0,1,0,692,704,1,0.0
spill,0,1,1,693,5857,2,-0.7062058235651256
sheriff,0,3,0,694,705,3,0.0
hundreds,0,1,1,695,5858,2,-0.43161915078082047
suvs,0,1,0,696,706,1,0.0
legged,5,1,5,12136,12212,11,-0.05622702769645659
group,5,8,3,12137,11317,16,0.21169132377589542
ashley,0,2,1,697,5859,3,-0.5875099366613671
beasts,1,3,0,5763,707,4,0.7288900440787609
overnight,0,2,0,698,708,2,0.0
rural,0,1,0,699,709,1,0.0
mining,0,2,0,700,710,2,0.0
mutate,0,1,0,701,711,1,0.0
harlan,0,1,0,702,712,1,0.0
bloodthirsty,0,1,0,703,713,1,0.0
mike,12,3,4,12981,11903,19,1.4806845959031512
mobilize,0,1,0,704,714,1,0.0
discover,0,8,0,705,715,8,0.0
size,1,1,1,5764,5860,3,-0.005208051763195415
eight,5,1,6,12138,12437,12,-0.2825363393825653
engineer,0,3,0,706,716,3,0.0
option,0,1,1,707,5861,2,-0.2698848716999482
st,0,1,1,708,5862,2,-0.2136921356815523
sarsgaard,0,1,0,709,717,1,0.0
leguizamo,2,2,3,9962,11318,7,-0.4827396581110878
proposal,1,1,1,5765,5863,3,-0.012400919419115128
victor,2,4,1,9963,5864,7,0.41958225419902007
banker,0,2,0,710,718,2,0.0
stockbroker,0,1,1,711,5865,2,-0.5835334415823759
bronx,0,2,1,712,5866,3,-0.7191553265013051
investment,1,1,0,5766,719,2,0.247356542142213
rosa,1,1,0,5767,720,2,0.6315423638320158
enter,0,3,2,713,10120,5,-0.38761067916809266
last,16,6,27,13109,13259,49,-1.022601944767104
escape,4,9,5,11767,12213,18,-0.330369496004228
written,15,1,12,13090,12999,28,0.362717492455875
wall,5,2,2,12139,10121,9,0.6449376355578023
safety,0,2,0,714,721,2,0.0
dream,3,4,1,11145,5867,8,0.5739019435984073
lopez,2,2,5,9964,12214,9,-1.0173505472324758
played,8,7,7,12676,12607,22,0.1538503912130028
decides,0,4,2,715,10122,6,-1.056968252308289
try,5,6,10,12140,12886,21,-0.8364957575516216
pursues,0,1,0,716,722,1,0.0
previous,8,2,6,12677,12438,16,0.2311570883707374
relentlessly,1,1,6,5768,12439,8,-1.690289223462536
abused,0,1,1,717,5868,2,-0.7222050500590306
fearing,0,2,0,718,723,2,0.0
futterman,0,1,0,719,724,1,0.0
wasn,4,1,11,11768,12953,16,-1.1877015996028846
enforce,0,1,0,720,725,1,0.0
art,19,7,14,13172,13082,40,0.4956553954879185
resist,5,1,0,12141,726,6,1.6095625680279957
preston,0,4,0,721,727,4,0.0
whe,0,1,0,722,728,1,0.0
regime,0,2,0,723,729,2,0.0
dose,3,1,0,11146,730,4,1.1159039401559014
misses,1,1,2,5769,10123,4,-0.5442970590099526
overthrowing,0,1,0,724,731,1,0.0
forbidden,1,3,1,5770,5869,5,-0.020288994043044586
emotions,9,1,0,12777,732,10,2.1106806207140365
capable,2,1,4,9965,11904,7,-0.6781802350922318
feeling,20,2,17,13192,13147,39,0.3569858001029895
bale,1,1,2,5771,10124,4,-0.5765404568600551
ranking,0,2,0,725,733,2,0.0
crime,7,14,10,12544,12887,31,-0.6513495258137196
strict,0,2,0,726,734,2,0.0
destroying,0,1,0,727,735,1,0.0
emotion,2,1,2,9966,10125,5,-0.032222345735553506
punishable,0,1,0,728,736,1,0.0
eliminated,0,1,0,729,737,1,0.0
person,4,5,8,11769,12726,17,-0.6391161753378847
laws,2,1,0,9967,738,3,0.5708194207157586
strictly,3,1,5,11147,12215,9,-0.6672305474086596
futuristic,2,2,1,9968,5870,5,0.5149025840966005
books,5,1,3,12142,11319,9,0.20446336972728346
prozium,0,1,0,730,739,1,
clerick,0,1,0,731,740,1,
hinders,0,1,0,732,741,1,0.0
suddenly,0,3,0,733,742,3,0.0
suppressing,0,1,0,734,743,1,0.0
rules,1,3,1,5772,5871,5,-0.007537992818796328
evelyn,5,2,3,12143,11320,10,0.6303764425212653
abandons,0,1,0,735,744,1,0.0
unemployment,0,2,0,736,745,2,0.0
devastated,0,2,0,737,746,2,0.0
reverses,0,1,0,738,747,1,0.0
courts,0,2,0,739,748,2,0.0
orphanages,0,2,0,740,749,2,0.0
doyle,0,2,0,741,750,2,0.0
church,1,2,0,5773,751,3,0.22464425685628994
catholic,0,1,0,742,752,1,0.0
untenable,0,1,0,743,753,1,0.0
although,15,4,11,13091,12954,30,0.5378243169828282
financial,0,1,1,744,5872,2,-0.17791075572293508
assures,0,1,0,745,754,1,0.0
christmas,4,4,5,11770,12216,13,-0.23874004332966192
finances,0,1,0,746,755,1,0.0
noel,0,1,0,747,756,1,0.0
secure,0,1,0,748,757,1,0.0
abuses,0,1,0,749,758,1,0.0
desmond,1,3,0,5774,759,4,0.7268999594388084
suffer,1,2,1,5775,5873,4,-0.018338088971111857
fact,4,3,19,11771,13182,26,-2.2959459795242325
brendan,0,1,0,750,760,1,0.0
authorities,0,4,0,751,761,4,0.0
sympathetic,3,1,0,11148,762,4,1.2049484273012514
situation,3,5,8,11149,12727,16,-1.1443236589982135
commercial,6,2,6,12369,12440,14,-0.03863808853574923
snowboarding,0,1,0,752,763,1,0.0
jumping,1,1,0,5776,764,2,0.6485750518240451
serbian,0,1,0,753,765,1,0.0
austrian,0,1,0,754,766,1,0.0
helicopters,1,1,0,5777,767,2,0.7151104410560097
catching,0,1,1,755,5874,2,-0.6953517281570796
slobodan,0,1,0,756,768,1,0.0
near,8,7,8,12678,12728,23,-0.04987981905506452
border,2,1,0,9969,769,3,0.733456386586384
don,31,2,41,13284,13336,74,-1.278767283463748
pavle,0,1,0,757,770,1,0.0
extreme,7,3,13,12545,13046,23,-1.2269378876395356
criminal,0,5,1,758,5875,6,-0.3546212683893908
sky,2,1,0,9970,771,3,0.6938834977381009
motorcycles,0,1,0,759,772,1,0.0
alps,0,1,0,760,773,1,-6.33471533151618e-16
yugoslav,0,1,0,761,774,1,0.0
locked,1,1,0,5778,775,2,0.5306882534154155
includes,4,1,2,11772,10126,7,0.34483166801189175
mountains,0,1,0,762,776,1,0.0
avalanche,0,1,1,763,5876,2,-0.7356456002964952
base,2,2,1,9971,5877,5,0.20873860405299302
skiing,0,1,0,764,777,1,0.0
chased,0,1,0,765,778,1,0.0
hideout,0,1,0,766,779,1,0.0
filming,0,2,0,767,780,2,0.0
enthusiasts,1,1,0,5779,781,2,0.6940658699104811
rafting,0,1,0,768,782,1,0.0
sports,7,2,3,12546,11321,12,0.4944681387090028
diving,0,1,0,769,783,1,0.0
further,3,4,7,11150,12608,14,-0.7211502808940174
taboo,3,1,0,11151,784,4,1.2474718835605838
tidy,1,1,1,5780,5878,3,-0.02338536953854464
disintegration,0,1,0,770,785,1,0.0
consolation,0,1,0,771,786,1,0.0
afloat,4,1,1,11773,5879,6,1.197458132865781
spinning,3,1,1,11152,5880,5,0.8425047442608214
dennis,0,2,0,772,787,2,0.0
confusion,2,1,0,9972,788,3,0.9663353396594784
socially,1,1,0,5781,789,2,0.6967592842363131
housewife,0,1,0,773,790,1,0.0
despite,24,2,27,13236,13260,53,-0.5188155958232334
gardener,0,1,0,774,791,1,0.0
control,3,4,4,11153,11905,11,-0.15453284650509466
haysbert,0,1,0,775,792,1,0.0
feelings,2,3,0,9973,793,5,0.8991751128186302
honest,7,2,5,12547,12217,14,0.46925321284278415
friendship,1,3,0,5782,794,4,0.5592082795028924
healthy,1,1,0,5783,795,2,0.35762596415539466
surprises,4,1,6,11774,12441,11,-0.6675082333906841
cathy,0,2,0,776,796,2,0.0
quaid,1,1,0,5784,797,2,0.6402199813960254
raymond,0,2,0,777,798,2,0.0
social,4,6,13,11775,13047,23,-1.3506582973082901
julianne,2,1,0,9974,799,3,0.8723678964550217
homosexuality,0,1,0,778,800,1,0.0
prominence,0,1,1,779,5881,2,-0.7433137768023015
grief,8,1,1,12679,5882,10,1.9218413675862047
frank,1,2,4,5785,11906,7,-0.8920690309645757
chapter,2,1,1,9975,5883,4,0.20252127436399153
sex,9,4,4,12778,11907,17,0.5277256913942617
artistic,10,3,1,12859,5884,14,2.184216389613048
revolutionary,0,1,0,780,801,1,0.0
couple,8,1,7,12680,12609,16,0.1479141055532732
hayek,5,1,0,12144,802,6,1.2416657692450832
lived,1,1,2,5786,10127,4,-0.40082956299263783
uncompromising,2,2,0,9976,803,4,0.8197849316787403
rivera,0,1,0,781,804,1,0.0
enduring,1,1,0,5787,805,2,0.7242563434191822
frida,10,3,8,12860,12729,21,0.39328013942669643
alfred,1,1,1,5788,5885,3,-0.018894806952142247
molina,1,1,0,5789,806,2,0.7085585823154946
diego,2,3,0,9977,807,5,0.6528806135139169
kahlo,6,2,2,12370,10128,10,1.2983738221069048
provocative,6,1,4,12371,11908,11,0.564554869467514
sexual,4,1,1,11776,5886,6,0.8253061858357164
chronicles,0,1,0,782,808,1,0.0
openly,1,1,0,5790,809,2,0.7106870725484056
controversial,1,2,0,5791,810,3,0.6406279023899909
mentor,0,2,0,783,811,2,0.0
entanglements,0,1,0,784,812,1,0.0
unflichingly,0,1,0,785,813,1,
bold,7,1,1,12548,5887,9,1.6163818404510748
trotsky,0,1,0,786,814,1,0.0
illicit,0,1,1,787,5888,2,-0.7541498083204576
storm,1,3,1,5792,5889,5,-0.013873445468800698
salma,3,1,1,11154,5890,5,0.9088190651498409
friday,4,1,11,11777,12955,16,-1.2510077208006327
stolen,1,3,0,5793,815,4,0.5960052429312015
rent,0,1,7,788,12610,8,-1.637936967345096
cousins,0,1,0,789,816,1,0.0
next,11,3,22,12923,13212,36,-1.0395879455025578
rundown,0,2,0,790,817,2,0.0
eviction,0,1,1,791,5891,2,-0.7348244652101762
jobs,0,1,0,792,818,1,0.0
parents,12,10,7,12982,12611,29,0.8197471991119449
craig,2,3,1,9978,5892,6,0.3882574487028785
hood,0,1,1,793,5893,2,-0.5470723951038318
someone,8,3,13,12681,13048,24,-0.8776997409233249
unarmed,0,1,0,794,819,1,0.0
mall,1,4,1,5794,5894,6,-0.01574688989674222
guards,0,2,0,795,820,2,0.0
threatened,1,2,1,5795,5895,4,-0.01919226698692962
crib,0,1,0,796,821,1,0.0
pick,4,1,5,11778,12218,10,-0.27969824280093697
robbed,0,1,0,797,822,1,0.0
houses,0,2,0,798,823,2,0.0
posing,3,1,2,11155,10129,6,0.35763691340124537
santa,0,1,0,799,824,1,0.0
cash,0,2,2,800,10130,4,-0.4669634344886101
season,8,1,4,12682,11909,13,0.7084770142856043
moved,7,1,0,12549,825,8,1.7196769962707141
ferral,0,1,0,801,826,1,0.0
garage,0,1,1,802,5896,2,-0.46987022652723764
fragility,0,1,0,803,827,1,0.0
beer,1,2,0,5796,828,3,0.4208269604948108
mullet,0,1,0,804,829,1,0.0
exploration,1,1,0,5797,830,2,0.5313414168856271
documentarian,0,1,0,805,831,1,0.0
hockey,0,1,0,806,832,1,0.0
everymen,0,1,0,807,833,1,
science,4,1,8,11779,12730,13,-0.5999915283294459
mitchener,0,1,0,808,834,1,0.0
depths,1,1,1,5798,5897,3,-0.02233991400582243
gracefully,0,1,0,809,835,1,0.0
shotgunning,0,1,0,810,836,1,
canadian,1,1,1,5799,5898,3,-0.009609667128719072
beers,0,1,1,811,5899,2,-0.7400359681149079
forming,1,1,0,5800,837,2,0.5889304369664264
dean,0,1,2,812,10131,3,-0.7560056142628209
grown,6,2,0,12372,838,8,1.7712143975971804
alberta,0,1,0,813,839,1,0.0
enough,78,6,67,13398,13388,151,0.6570904663838097
unofficial,0,2,0,814,840,2,0.0
terence,0,1,0,815,841,1,0.0
soderbergh,14,1,9,13057,12823,24,0.9486020959840298
blair,0,1,5,816,12219,6,-1.6848968626850014
reason,8,2,16,12683,13128,26,-1.3581431054466486
julia,0,2,3,817,11322,5,-1.2863763309844751
revolves,0,2,0,818,842,2,-3.370954183615556e-16
david,8,2,7,12684,12612,17,0.11783112959612538
brad,0,1,0,819,843,1,0.0
touted,1,1,0,5801,844,2,0.6937265432484936
duchovny,0,1,0,820,845,1,0.0
collide,3,2,0,11156,846,5,1.0651549789447448
movies,70,3,53,13391,13367,126,1.1600280909304204
billed,1,1,1,5802,5900,3,-0.021910378696076194
hyde,0,1,0,821,847,1,0.0
cameoing,0,1,0,822,848,1,
frontal,7,1,7,12550,12613,15,-0.06662807010278625
